timestamp,sensor_id,zone_id,pipeline_segment_id,pressure,flow_rate,temperature,sensor_health
2026-09-08T08:00:00,A1,Zone_A,R-A1,4.276,88.733,19.44,HEALTHY
2026-09-08T08:00:00,A2,Zone_A,A1-A2,4.302,78.138,19.54,HEALTHY
2026-09-08T08:00:00,A3,Zone_A,A2-A3,3.777,66.441,19.4,HEALTHY
2026-09-08T08:00:00,B1,Zone_B,R-B1,4.278,184.668,19.3,HEALTHY
2026-09-08T08:00:00,B2,Zone_B,B1-B2,4.349,165.966,19.58,HEALTHY
2026-09-08T08:00:00,B3,Zone_B,B2-B3,3.846,166.914,19.46,HEALTHY
2026-09-08T08:00:00,B4,Zone_B,B3-B4,4.098,137.423,19.48,HEALTHY
2026-09-08T08:00:00,C1,Zone_C,R-C1,3.839,103.3,19.48,HEALTHY
2026-09-08T08:00:00,C2,Zone_C,C1-C2,3.779,99.032,19.4,HEALTHY
2026-09-08T08:00:00,C3,Zone_C,C2-C3,3.678,86.788,19.66,HEALTHY
2026-09-08T08:01:00,A1,Zone_A,R-A1,4.214,94.672,19.59,HEALTHY
2026-09-08T08:01:00,A2,Zone_A,A1-A2,4.248,78.719,19.45,HEALTHY
2026-09-08T08:01:00,A3,Zone_A,A2-A3,3.775,67.748,19.64,HEALTHY
2026-09-08T08:01:00,B1,Zone_B,R-B1,4.357,182.534,19.35,HEALTHY
2026-09-08T08:01:00,B2,Zone_B,B1-B2,4.403,170.473,19.55,HEALTHY
2026-09-08T08:01:00,B3,Zone_B,B2-B3,4.001,166.763,19.49,HEALTHY
2026-09-08T08:01:00,B4,Zone_B,B3-B4,3.94,132.747,19.51,HEALTHY
2026-09-08T08:01:00,C1,Zone_C,R-C1,3.788,104.27,19.38,HEALTHY
2026-09-08T08:01:00,C2,Zone_C,C1-C2,3.659,100.013,19.42,HEALTHY
2026-09-08T08:01:00,C3,Zone_C,C2-C3,3.724,85.165,19.44,HEALTHY
2026-09-08T08:02:00,A1,Zone_A,R-A1,4.337,92.096,19.56,HEALTHY
2026-09-08T08:02:00,A2,Zone_A,A1-A2,4.426,78.79,19.47,HEALTHY
2026-09-08T08:02:00,A3,Zone_A,A2-A3,3.834,68.06,19.64,HEALTHY
2026-09-08T08:02:00,B1,Zone_B,R-B1,4.454,179.495,19.37,HEALTHY
2026-09-08T08:02:00,B2,Zone_B,B1-B2,4.458,174.439,19.52,HEALTHY
2026-09-08T08:02:00,B3,Zone_B,B2-B3,4.039,162.738,19.58,HEALTHY
2026-09-08T08:02:00,B4,Zone_B,B3-B4,4.06,138.037,19.41,HEALTHY
2026-09-08T08:02:00,C1,Zone_C,R-C1,3.704,104.223,19.53,HEALTHY
2026-09-08T08:02:00,C2,Zone_C,C1-C2,3.92,98.713,19.36,HEALTHY
2026-09-08T08:02:00,C3,Zone_C,C2-C3,3.602,86.532,19.57,HEALTHY
2026-09-08T08:03:00,A1,Zone_A,R-A1,4.297,94.251,19.6,HEALTHY
2026-09-08T08:03:00,A2,Zone_A,A1-A2,4.186,80.35,19.54,HEALTHY
2026-09-08T08:03:00,A3,Zone_A,A2-A3,3.835,67.445,19.59,HEALTHY
2026-09-08T08:03:00,B1,Zone_B,R-B1,4.303,186.011,19.55,HEALTHY
2026-09-08T08:03:00,B2,Zone_B,B1-B2,4.566,171.619,19.63,HEALTHY
2026-09-08T08:03:00,B3,Zone_B,B2-B3,4.047,163.467,19.48,HEALTHY
2026-09-08T08:03:00,B4,Zone_B,B3-B4,3.882,136.506,19.46,HEALTHY
2026-09-08T08:03:00,C1,Zone_C,R-C1,3.847,104.556,19.39,HEALTHY
2026-09-08T08:03:00,C2,Zone_C,C1-C2,3.894,102.198,19.64,HEALTHY
2026-09-08T08:03:00,C3,Zone_C,C2-C3,3.581,85.801,19.59,HEALTHY
2026-09-08T08:04:00,A1,Zone_A,R-A1,4.307,92.249,19.53,HEALTHY
2026-09-08T08:04:00,A2,Zone_A,A1-A2,4.371,83.5,19.6,HEALTHY
2026-09-08T08:04:00,A3,Zone_A,A2-A3,3.737,69.922,19.5,HEALTHY
2026-09-08T08:04:00,B1,Zone_B,R-B1,4.276,190.19,19.36,HEALTHY
2026-09-08T08:04:00,B2,Zone_B,B1-B2,4.443,179.712,19.54,HEALTHY
2026-09-08T08:04:00,B3,Zone_B,B2-B3,3.939,166.321,19.46,HEALTHY
2026-09-08T08:04:00,B4,Zone_B,B3-B4,3.976,141.308,19.57,HEALTHY
2026-09-08T08:04:00,C1,Zone_C,R-C1,3.718,104.022,19.45,HEALTHY
2026-09-08T08:04:00,C2,Zone_C,C1-C2,3.787,101.461,19.54,HEALTHY
2026-09-08T08:04:00,C3,Zone_C,C2-C3,3.528,88.281,19.56,HEALTHY
2026-09-08T08:05:00,A1,Zone_A,R-A1,4.278,95.026,19.66,HEALTHY
2026-09-08T08:05:00,A2,Zone_A,A1-A2,4.294,81.217,19.47,HEALTHY
2026-09-08T08:05:00,A3,Zone_A,A2-A3,3.898,68.855,19.32,HEALTHY
2026-09-08T08:05:00,B1,Zone_B,R-B1,4.454,186.533,19.56,HEALTHY
2026-09-08T08:05:00,B2,Zone_B,B1-B2,4.252,177.784,19.47,HEALTHY
2026-09-08T08:05:00,B3,Zone_B,B2-B3,3.941,163.408,19.52,HEALTHY
2026-09-08T08:05:00,B4,Zone_B,B3-B4,4.07,137.991,19.62,HEALTHY
2026-09-08T08:05:00,C1,Zone_C,R-C1,3.749,105.138,19.65,HEALTHY
2026-09-08T08:05:00,C2,Zone_C,C1-C2,3.666,98.532,19.63,HEALTHY
2026-09-08T08:05:00,C3,Zone_C,C2-C3,3.596,88.209,19.46,HEALTHY
2026-09-08T08:06:00,A1,Zone_A,R-A1,4.377,92.995,19.73,HEALTHY
2026-09-08T08:06:00,A2,Zone_A,A1-A2,4.226,81.545,19.52,HEALTHY
2026-09-08T08:06:00,A3,Zone_A,A2-A3,3.646,68.495,19.48,HEALTHY
2026-09-08T08:06:00,B1,Zone_B,R-B1,4.398,185.545,19.69,HEALTHY
2026-09-08T08:06:00,B2,Zone_B,B1-B2,4.504,176.825,19.57,HEALTHY
2026-09-08T08:06:00,B3,Zone_B,B2-B3,3.949,160.493,19.64,HEALTHY
2026-09-08T08:06:00,B4,Zone_B,B3-B4,3.828,133.217,19.49,HEALTHY
2026-09-08T08:06:00,C1,Zone_C,R-C1,3.769,103.577,19.56,HEALTHY
2026-09-08T08:06:00,C2,Zone_C,C1-C2,3.795,101.696,19.42,HEALTHY
2026-09-08T08:06:00,C3,Zone_C,C2-C3,3.576,89.085,19.51,HEALTHY
2026-09-08T08:07:00,A1,Zone_A,R-A1,4.247,92.418,19.65,HEALTHY
2026-09-08T08:07:00,A2,Zone_A,A1-A2,4.141,78.27,19.3,HEALTHY
2026-09-08T08:07:00,A3,Zone_A,A2-A3,3.718,69.255,19.6,HEALTHY
2026-09-08T08:07:00,B1,Zone_B,R-B1,4.38,185.747,19.5,HEALTHY
2026-09-08T08:07:00,B2,Zone_B,B1-B2,4.427,171.537,19.39,HEALTHY
2026-09-08T08:07:00,B3,Zone_B,B2-B3,4.062,162.952,19.55,HEALTHY
2026-09-08T08:07:00,B4,Zone_B,B3-B4,3.91,135.177,19.51,HEALTHY
2026-09-08T08:07:00,C1,Zone_C,R-C1,3.781,104.309,19.48,HEALTHY
2026-09-08T08:07:00,C2,Zone_C,C1-C2,3.675,96.256,19.74,HEALTHY
2026-09-08T08:07:00,C3,Zone_C,C2-C3,3.549,88.058,19.53,HEALTHY
2026-09-08T08:08:00,A1,Zone_A,R-A1,4.468,88.372,19.42,HEALTHY
2026-09-08T08:08:00,A2,Zone_A,A1-A2,4.199,82.891,19.59,HEALTHY
2026-09-08T08:08:00,A3,Zone_A,A2-A3,3.933,68.839,19.46,HEALTHY
2026-09-08T08:08:00,B1,Zone_B,R-B1,4.263,187.788,19.69,HEALTHY
2026-09-08T08:08:00,B2,Zone_B,B1-B2,4.406,171.015,19.45,HEALTHY
2026-09-08T08:08:00,B3,Zone_B,B2-B3,3.917,166.428,19.42,HEALTHY
2026-09-08T08:08:00,B4,Zone_B,B3-B4,4.044,136.47,19.43,HEALTHY
2026-09-08T08:08:00,C1,Zone_C,R-C1,3.821,101.077,19.55,HEALTHY
2026-09-08T08:08:00,C2,Zone_C,C1-C2,3.737,93.292,19.45,HEALTHY
2026-09-08T08:08:00,C3,Zone_C,C2-C3,3.449,86.959,19.38,HEALTHY
2026-09-08T08:09:00,A1,Zone_A,R-A1,4.284,94.371,19.61,HEALTHY
2026-09-08T08:09:00,A2,Zone_A,A1-A2,4.224,81.127,19.48,HEALTHY
2026-09-08T08:09:00,A3,Zone_A,A2-A3,3.791,69.616,19.49,HEALTHY
2026-09-08T08:09:00,B1,Zone_B,R-B1,4.347,185.864,19.46,HEALTHY
2026-09-08T08:09:00,B2,Zone_B,B1-B2,4.414,175.126,19.47,HEALTHY
2026-09-08T08:09:00,B3,Zone_B,B2-B3,3.958,166.361,19.67,HEALTHY
2026-09-08T08:09:00,B4,Zone_B,B3-B4,4.097,136.014,19.41,HEALTHY
