segment_id,zone_id,observability_score,observability_class,detected,detection_delay_minutes,responsive_sensor_count,responsive_sensor_ratio,maximum_anomaly_score
R-A1,Zone_A,0.7833333333333332,HIGH_OBSERVABILITY,True,29.0,2,0.6666666666666666,0.8999999999999999
R-B1,Zone_B,0.8283333333333331,HIGH_OBSERVABILITY,True,23.0,3,0.75,0.8999999999999999
R-C1,Zone_C,0.7566666666666666,HIGH_OBSERVABILITY,True,37.0,2,0.6666666666666666,0.8999999999999999
A1-A2,Zone_A,0.8773218647865658,HIGH_OBSERVABILITY,True,29.0,3,1.0,0.8699426572661622
A2-A3,Zone_A,0.7520113664415217,HIGH_OBSERVABILITY,True,35.0,2,0.6666666666666666,0.8433901655409413
B1-B2,Zone_B,0.8994759310000846,HIGH_OBSERVABILITY,True,23.0,4,1.0,0.8807129883337563
B2-B3,Zone_B,0.8966666666666667,HIGH_OBSERVABILITY,True,25.0,4,1.0,0.8999999999999999
B3-B4,Zone_B,0.8201376459566727,HIGH_OBSERVABILITY,True,25.0,3,0.75,0.8923548964500305
C1-C2,Zone_C,0.8699999999999999,HIGH_OBSERVABILITY,True,33.0,3,1.0,0.8999999999999999
C2-C3,Zone_C,0.8546389990621647,HIGH_OBSERVABILITY,True,34.0,3,1.0,0.8398616619774901
