segment_id,zone_id,detected,time_to_first_strong_anomaly_minutes,maximum_anomaly_score,responsive_sensor_count,responsive_sensor_ids
R-A1,Zone_A,True,29.0,0.9,2,"A1,A3"
R-B1,Zone_B,True,23.0,0.9,3,"B1,B3,B4"
R-C1,Zone_C,True,37.0,0.9,2,"C1,C3"
A1-A2,Zone_A,True,29.0,0.87,3,"A1,A2,A3"
A2-A3,Zone_A,True,35.0,0.843,2,"A2,A3"
B1-B2,Zone_B,True,23.0,0.881,4,"B1,B2,B3,B4"
B2-B3,Zone_B,True,25.0,0.9,4,"B1,B2,B3,B4"
B3-B4,Zone_B,True,25.0,0.892,3,"B1,B3,B4"
C1-C2,Zone_C,True,33.0,0.9,3,"C1,C2,C3"
C2-C3,Zone_C,True,34.0,0.84,3,"C1,C2,C3"
