SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Agucha,Rajasthan SW,8,Rajasthan,92,BHILWARA,HURDA,HURDA,GULABPURA,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,24.82500000,74.72722222,01-01-2026 05:00,1.5
2,Agucha,Rajasthan SW,8,Rajasthan,92,BHILWARA,HURDA,HURDA,GULABPURA,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,24.82500000,74.72722222,01-01-2026 06:00,0.5
3,Agucha,Rajasthan SW,8,Rajasthan,92,BHILWARA,HURDA,HURDA,GULABPURA,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,24.82500000,74.72722222,01-01-2026 07:00,1.5
4,Agucha,Rajasthan SW,8,Rajasthan,92,BHILWARA,HURDA,HURDA,GULABPURA,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,24.82500000,74.72722222,01-01-2026 08:00,0.5
5,Agucha,Rajasthan SW,8,Rajasthan,92,BHILWARA,HURDA,HURDA,GULABPURA,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,24.82500000,74.72722222,06-01-2026 09:00,0.5
6,Agucha,Rajasthan SW,8,Rajasthan,92,BHILWARA,HURDA,HURDA,GULABPURA,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,24.82500000,74.72722222,18-02-2026 02:00,0.5
7,Agucha,Rajasthan SW,8,Rajasthan,92,BHILWARA,HURDA,HURDA,GULABPURA,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,24.82500000,74.72722222,18-02-2026 06:00,0.5
8,Agucha,Rajasthan SW,8,Rajasthan,92,BHILWARA,HURDA,HURDA,GULABPURA,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,24.82500000,74.72722222,18-02-2026 17:00,0.5
9,Agucha,Rajasthan SW,8,Rajasthan,92,BHILWARA,HURDA,HURDA,GULABPURA,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,24.82500000,74.72722222,18-02-2026 20:00,0.5
10,Agucha,Rajasthan SW,8,Rajasthan,92,BHILWARA,HURDA,HURDA,GULABPURA,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,24.82500000,74.72722222,18-02-2026 23:00,0.5
